number,color,color_num,author,author_kanji,author_hiragana,kimariji_kami,kimariji_kami_yomi,kimariji_shimo,kimariji_shimo_no_tenten,verse_1,verse_2,verse_3,verse_4,verse_5,verse_1_kanji,verse_2_kanji,verse_3_kanji,verse_4_kanji,verse_5_kanji,verse_1_hiragana,verse_2_hiragana,verse_3_hiragana,verse_4_hiragana,verse_5_hiragana,verse_1_hiragana_yomi,verse_2_hiragana_yomi,verse_3_hiragana_yomi,verse_4_hiragana_yomi,verse_5_hiragana_yomi,kyougi_yomi_kami,kyougi_yomi_shimo,kyougi_yomi_kami_kanji,kyougi_yomi_shimo_kanji,kyougi_yomi_kami_hiragana,kyougi_yomi_shimo_hiragana,torifuda_1,torifuda_2,torifuda_3
83,桃,19,[皇太后宮大夫俊成|こうたいごうぐうのだいぶしゅんぜい],皇太后宮大夫俊成,こうたいごうぐうのだいぶしゅんぜい,よのなかよ,よのなかよ,やま,やま,[世|よ]の[中|なか]よ,[道|みち]こそなけれ,[思|おも]ひ[入|い]る,[山|やま]の[奥|おく]にも,[鹿|しか]ぞ[鳴|な]くなる,世の中よ,道こそなけれ,思ひ入る,山の奥にも,鹿ぞ鳴くなる,よのなかよ,みちこそなけれ,おもひいる,やまのおくにも,しかぞなくなる,よのなかよ,みちこそなけれ,おもいいる,やまのおくにも,しかぞなくなる,[世|よ]の[中|なか]よー[道|みち]こそなけれｰ[思|おも][ひ|い]ー[入|い]るー,[山|やま]のｰ[奥|おく]にもー[鹿|しか]ぞ[鳴|な]くーなる,世の中よー道こそなけれｰ思ひー入るー,山のｰ奥にもー鹿ぞ鳴くーなる,よのなかよーみちこそなけれｰおもいーいるー,やまのｰおくにもーしかぞなくーなる,やまのおく,にもしかそ,なくなる
84,桃,20,[藤原清輔朝臣|ふじわらのきよすけあそん],藤原清輔朝臣,ふじわらのきよすけあそん,ながら,ながら,うし,うし,[長|なが]らへば,またこの[頃|ごろ]や,[忍|しの]ばれむ,[憂|う]しと[見|み]し[世|よ]ぞ,[今|いま]は[恋|こひ]しき,長らへば,またこの頃や,忍ばれむ,憂しと見し世ぞ,今は恋しき,ながらへば,またこのごろや,しのばれむ,うしとみしよぞ,いまはこひしき,ながらえば,またこのごろや,しのばれん,うしとみしよぞ,いまわこいしき,ながら[へ|え]ばーまたこのごろやｰしのばれー[む|ん]ー,[憂|う]しとｰ[見|み]し[世|よ]ぞー[今|いま][は|わ][恋|こい]ーしき,ながらへばーまたこのごろやｰしのばれーむー,憂しとｰ見し世ぞー今は恋ーしき,ながらえばーまたこのごろやｰしのばれーんー,うしとｰみしよぞーいまわこいーしき,うしとみし,よそいまは,こひしき
85,黄,19,[俊恵法師|しゅんえほうし],俊恵法師,しゅんえほうし,よも,よも,ね,ね,[夜|よ]もすがら,[物|もの][思|おも]ふころは,[明|あ]けやらで,ねやの[隙|ひま]さへ,つれなかりけり,夜もすがら,物思ふころは,明けやらで,ねやの隙さへ,つれなかりけり,よもすがら,ものおもふころは,あけやらで,ねやのひまさへ,つれなかりけり,よもすがら,ものおもうころわ,あけやらで,ねやのひまさえ,つれなかりけり,[夜|よ]もすがらー[物|もの][思|おも][ふ|う]ころ[は|わ]ｰ[明|あ]けやらーでー,[閨|ねや]のｰひまさ[へ|え]ーつれなかりーけり,夜もすがらー物思ふころはｰ明けやらーでー,閨のｰひまさへーつれなかりーけり,よもすがらーものおもうころわｰあけやらーでー,ねやのｰひまさえーつれなかりーけり,ねやのひま,さへつれな,かりけり
86,桃,1,[西行法師|さいぎょうほうし],西行法師,さいぎょうほうし,なげけ,なげけ,かこ,かこ,[嘆|なげ]けとて,[月|つき]やはものを,[思|おも]はする,かこち[顔|がほ]なる,わが[涙|なみだ]かな,嘆けとて,月やはものを,思はする,かこち顔なる,わが涙かな,なげけとて,つきやはものを,おもはする,かこちがほなる,わがなみだかな,なげけとて,つきやわものを,おもわする,かこちがおなる,わがなみだかな,[嘆|なげ]けとてー[月|つき]や[は|わ][物|もの]をｰ[思|おも][は|わ]ーするー,かこち[顔|がお]ｰなるーわが[涙|なみだ]ーかな,嘆けとてー月やは物をｰ思はーするー,かこち顔ｰなるーわが涙ーかな,なげけとてーつきやわものをｰおもわーするー,かこちがおｰなるーわがなみだーかな,かこちかほ,なるわかな,みたかな
87,黄,16,[寂蓮法師|じゃくれんほうし],寂蓮法師,じゃくれんほうし,む,む,き,き,[村雨|むらさめ]の,[露|つゆ]もまだ[干|ひ]ぬ,まきの[葉|は]に,[霧|きり][立|た]ちのぼる,[秋|あき]の[夕暮|ゆふぐ]れ,村雨の,露もまだ干ぬ,まきの葉に,霧立ちのぼる,秋の夕暮れ,むらさめの,つゆもまだひぬ,まきのはに,きりたちのぼる,あきのゆふぐれ,むらさめの,つゆもまだひぬ,まきのはに,きりたちのぼる,あきのゆうぐれ,[村雨|むらさめ]のー[露|つゆ]もまだ[干|ひ]ぬｰまきの[葉|は]ーにー,[霧|きり]ｰたちのぼるー[秋|あき]の[夕|ゆう]ーぐれ,村雨のー露もまだ干ぬｰまきの葉ーにー,霧ｰたちのぼるー秋の夕ーぐれ,むらさめのーつゆもまだひぬｰまきのはーにー,きりｰたちのぼるーあきのゆうーぐれ,きりたちの,ほるあきの,ゆふくれ
88,橙,12,[皇嘉門院別当|こうかもんいんのべっとう],皇嘉門院別当,こうかもんいんのべっとう,なにはえ,なにわえ,みをつくしてや,みをつくしてや,[難波江|なにはえ]の,[蘆|あし]のかり[寝|ね]の,ひと[夜|よ]ゆゑ,[身|み]を[尽|つ]くしてや,[恋|こ]ひわたるべき,難波江の,蘆のかり寝の,ひと夜ゆゑ,身を尽くしてや,恋ひわたるべき,なにはえの,あしのかりねの,ひとよゆゑ,みをつくしてや,こひわたるべき,なにわえの,あしのかりねの,ひとよゆえ,みをつくしてや,こいわたるべき,[難波江|なにわえ]のー[芦|あし]のかりねのｰひとよーゆ[ゑ|え]ー,みをｰつくしてやー[恋|こ][ひ|い]わたるーべき,難波江のー芦のかりねのｰひとよーゆゑー,みをｰつくしてやー恋ひわたるーべき,なにわえのーあしのかりねのｰひとよーゆえー,みをｰつくしてやーこいわたるーべき,みをつくし,てやこひわ,たるへき
89,黄,20,[式子内親王|しきしないしんのう],式子内親王,しきしないしんのう,たま,たま,しの,しの,[玉|たま]の[緒|を]よ,[絶|た]えなば[絶|た]えね,[長|なが]らへば,[忍|しの]ぶることの,[弱|よわ]りもぞする,玉の緒よ,絶えなば絶えね,長らへば,忍ぶることの,弱りもぞする,たまのをよ,たえなばたえね,ながらへば,しのぶることの,よわりもぞする,たまのおよ,たえなばたえね,ながらえば,しのぶることの,よわりもぞする,[玉|たま]の[を|お]よーたえなばたえねｰながら[へ|え]ーばー,[忍|しの]ぶるｰことのー[弱|よわ]りもぞーする,玉のをよーたえなばたえねｰながらへーばー,忍ぶるｰことのー弱りもぞーする,たまのおよーたえなばたえねｰながらえーばー,しのぶるｰことのーよわりもぞーする,しのふるこ,とのよわり,もそする
90,橙,18,[殷富門院大輔|いんぷもんいんのたいふ],殷富門院大輔,いんぷもんいんのたいふ,みせ,みせ,ぬ,ぬ,[見|み]せばやな,[雄島|をじま]のあまの,[袖|そで]だにも,ぬれにぞぬれし,[色|いろ]は[変|か]はらず,見せばやな,雄島のあまの,袖だにも,ぬれにぞぬれし,色は変はらず,みせばやな,をじまのあまの,そでだにも,ぬれにぞぬれし,いろはかはらず,みせばやな,おじまのあまの,そでだにも,ぬれにぞぬれし,いろわかわらず,[見|み]せばやなー[雄島|おじま]のあまのｰ[袖|そで]だにーもー,ぬれにぞｰぬれしー[色|いろ][は|わ]か[は|わ]ーらず,見せばやなー雄島のあまのｰ袖だにーもー,ぬれにぞｰぬれしー色はかはーらず,みせばやなーおじまのあまのｰそでだにーもー,ぬれにぞｰぬれしーいろわかわーらず,ぬれにそぬ,れしいろは,かはらす
91,青,15,[後京極摂政前太政大臣|ごきょうごくせっしょうさきのだいじょうだいじん],後京極摂政前太政大臣,ごきょうごくせっしょうさきのだいじょうだいじん,きり,きり,ころもか,ころもか,きりぎりす,[鳴|な]くや[霜夜|しもよ]の,さむしろに,[衣|ころも]かたしき,[独|ひと]りかも[寝|ね]む,きりぎりす,鳴くや霜夜の,さむしろに,衣かたしき,独りかも寝む,きりぎりす,なくやしもよの,さむしろに,ころもかたしき,ひとりかもねむ,きりぎりす,なくやしもよの,さむしろに,ころもかたしき,ひとりかもねん,きりぎりすー[鳴|な]くや[霜夜|しもよ]のｰさむしろーにー,[衣|ころも]ｰかたしきーひとりかもー[寝|ね][む|ん],きりぎりすー鳴くや霜夜のｰさむしろーにー,衣ｰかたしきーひとりかもー寝む,きりぎりすーなくやしもよのｰさむしろーにー,ころもｰかたしきーひとりかもーねん,ころもかた,しきひとり,かもねむ
92,緑,19,[二条院讃岐|にじょういんのさぬき],二条院讃岐,にじょういんのさぬき,わがそ,わがそ,ひとこそし,ひとこそし,わが[袖|そで]は,[潮干|しほひ]に[見|み]えぬ,[沖|おき]の[石|いし]の,[人|ひと]こそ[知|し]らね,かわく[間|ま]もなし,わが袖は,潮干に見えぬ,沖の石の,人こそ知らね,かわく間もなし,わがそでは,しほひにみえぬ,おきのいしの,ひとこそしらね,かわくまもなし,わがそでわ,しおひにみえぬ,おきのいしの,ひとこそしらね,かわくまもなし,わが[袖|そで][は|わ]ー[潮干|しおひ]にみえぬｰ[沖|おき]の[石|いし]ーのー,[人|ひと]こそｰしらねーかわくまもーなし,わが袖はー潮干にみえぬｰ沖の石ーのー,人こそｰしらねーかわくまもーなし,わがそでわーしおひにみえぬｰおきのいしーのー,ひとこそｰしらねーかわくまもーなし,ひとこそし,らねかわく,まもなし
93,緑,20,[鎌倉右大臣|かまくらのうだいじん],鎌倉右大臣,かまくらのうだいじん,よのなかは,よのなかわ,あまの,あまの,[世|よ]の[中|なか]は,[常|つね]にもがもな,[渚|なぎさ][漕|こ]ぐ,あまの[小舟|をぶね]の,[綱手|つなで][悲|かな]しも,世の中は,常にもがもな,渚漕ぐ,あまの小舟の,綱手悲しも,よのなかは,つねにもがもな,なぎさこぐ,あまのをぶねの,つなでかなしも,よのなかわ,つねにもがもな,なぎさこぐ,あまのおぶねの,つなでかなしも,[世|よ]の[中|なか][は|わ]ーつねにもがもなｰなぎさー[漕|こ]ぐー,あまのｰ[小舟|おぶね]のー[綱手|つなで]かなーしも,世の中はーつねにもがもなｰなぎさー漕ぐー,あまのｰ小舟のー綱手かなーしも,よのなかわーつねにもがもなｰなぎさーこぐー,あまのｰおぶねのーつなでかなーしも,あまのをふ,ねのつなて,かなしも
94,黄,17,[参議雅経|さんぎまさつね],参議雅経,さんぎまさつね,みよ,みよ,ふる,ふる,み[吉野|よしの]の,[山|やま]の[秋風|あきかぜ],さ[夜|よ][更|ふ]けて,ふるさと[寒|さむ]く,[衣|ころも]うつなり,み吉野の,山の秋風,さ夜更けて,ふるさと寒く,衣うつなり,みよしのの,やまのあきかぜ,さよふけて,ふるさとさむく,ころもうつなり,みよしのの,やまのあきかぜ,さよふけて,ふるさとさむく,ころもうつなり,み[吉野|よしの]のー[山|やま]の[秋風|あきかぜ]ｰさ[夜|よ]ふけーてー,ふるさとｰ[寒|さむ]くー[衣|ころも]うつーなり,み吉野のー山の秋風ｰさ夜ふけーてー,ふるさとｰ寒くー衣うつーなり,みよしののーやまのあきかぜｰさよふけーてー,ふるさとｰさむくーころもうつーなり,ふるさとさ,むくころも,うつなり
95,橙,19,[前大僧正慈円|さきのだいそうじょうじえん],前大僧正慈円,さきのだいそうじょうじえん,おほけ,おおけ,わがた,わかた,おほけなく,[浮世|うきよ]の[民|たみ]に,おほふかな,わがたつ[杣|そま]に,[墨染|すみぞめ]の[袖|そで],おほけなく,浮世の民に,おほふかな,わがたつ杣に,墨染の袖,おほけなく,うきよのたみに,おほふかな,わがたつそまに,すみぞめのそで,おおけなく,うきよのたみに,おおうかな,わがたつそまに,すみぞめのそで,お[ほ|お]けなくーうき[世|よ]の[民|たみ]にｰお[ほふ|おう]ーかなー,わがｰ[立|た]つ[杣|そま]にー[墨染|すみぞめ]のー[袖|そで],おほけなくーうき世の民にｰおほふーかなー,わがｰ立つ杣にー墨染のー袖,おおけなくーうきよのたみにｰおおうーかなー,わがｰたつそまにーすみぞめのーそで,わかたつそ,まにすみそ,めのそて
96,黄,18,[入道前太政大臣|にゅうどうさきのだいじょうだいじん],入道前太政大臣,にゅうどうさきのだいじょうだいじん,はなさ,はなさ,ふり,ふり,[花|はな]さそふ,[嵐|あらし]の[庭|には]の,[雪|ゆき]ならで,ふりゆくものは,わが[身|み]なりけり,花さそふ,嵐の庭の,雪ならで,ふりゆくものは,わが身なりけり,はなさそふ,あらしのにはの,ゆきならで,ふりゆくものは,わがみなりけり,はなさそう,あらしのにわの,ゆきならで,ふりゆくものわ,わがみなりけり,[花|はな]さそ[ふ|う]ー[嵐|あらし]の[庭|にわ]のｰ[雪|ゆき]ならーでー,ふりゆくｰもの[は|わ]ーわが[身|み]なりーけり,花さそふー嵐の庭のｰ雪ならーでー,ふりゆくｰものはーわが身なりーけり,はなさそうーあらしのにわのｰゆきならーでー,ふりゆくｰものわーわがみなりーけり,ふりゆくも,のはわかみ,なりけり
97,桃,2,[権中納言定家|ごんちゅうなごんていか],権中納言定家,ごんちゅうなごんていか,こぬ,こぬ,やく,やく,[来|こ]ぬ[人|ひと]を,[松帆|まつほ]の[浦|うら]の,[夕|ゆふ]なぎに,[焼|や]くや[藻塩|もしほ]の,[身|み]もこがれつつ,来ぬ人を,松帆の浦の,夕なぎに,焼くや藻塩の,身もこがれつつ,こぬひとを,まつほのうらの,ゆふなぎに,やくやもしほの,みもこがれつつ,こぬひとを,まつほのうらの,ゆうなぎに,やくやもしおの,みもこがれつつ,[来|こ]ぬ[人|ひと]をーまつほの[浦|うら]のｰ[夕|ゆう]なぎーにー,[焼|や]くやｰもし[ほ|お]のー[身|み]もこがれーつつ,来ぬ人をーまつほの浦のｰ夕なぎーにー,焼くやｰもしほのー身もこがれーつつ,こぬひとをーまつほのうらのｰゆうなぎーにー,やくやｰもしおのーみもこがれーつつ,やくやもし,ほのみもこ,かれつつ
98,橙,20,[従二位家隆|じゅにいいえたか],従二位家隆,じゅにいいえたか,かぜそ,かぜそ,みそ,みそ,[風|かぜ]そよぐ,[奈良|なら]の[小川|をがは]の,[夕暮|ゆふぐ]れは,みそぎぞ[夏|なつ]の,しるしなりける,風そよぐ,奈良の小川の,夕暮れは,みそぎぞ夏の,しるしなりける,かぜそよぐ,ならのをがはの,ゆふぐれは,みそぎぞなつの,しるしなりける,かぜそよぐ,ならのおがわの,ゆうぐれわ,みそぎぞなつの,しるしなりける,[風|かぜ]そよぐーならの[小川|おがわ]のｰ[夕|ゆう]ぐれー[は|わ]ー,みそぎぞｰ[夏|なつ]のーしるしなりーける,風そよぐーならの小川のｰ夕ぐれーはー,みそぎぞｰ夏のーしるしなりーける,かぜそよぐーならのおがわのｰゆうぐれーわー,みそぎぞｰなつのーしるしなりーける,みそきそな,つのしるし,なりける
99,橙,15,[後鳥羽院|ごとばいん],後鳥羽院,ごとばいん,ひとも,ひとも,よをお,よをお,[人|ひと]も[惜|を]し,[人|ひと]も[恨|うら]めし,[味気|あぢき]なく,[世|よ]を[思|おも]ふ[故|ゆゑ]に,[物|もの][思|おも]ふ[身|み]は,人も惜し,人も恨めし,味気なく,世を思ふ故に,物思ふ身は,ひともをし,ひともうらめし,あぢきなく,よをおもふゆゑに,ものおもふみは,ひともおし,ひともうらめし,あじきなく,よをおもうゆえに,ものおもうみわ,[人|ひと]も[を|お]しー[人|ひと]もうらめしｰあ[ぢ|じ]きなーくー,[世|よ]をｰ[思|おも][ふ|う]ゆ[ゑ|え]にー[物|もの][思|おも][ふ|う]ー[身|み][は|わ],人もをしー人もうらめしｰあぢきなーくー,世をｰ思ふゆゑにー物思ふー身は,ひともおしーひともうらめしｰあじきなーくー,よをｰおもうゆえにーものおもうーみわ,よをおもふ,ゆゑにもの,おもふみは
100,青,18,[順徳院|じゅんとくいん],順徳院,じゅんとくいん,もも,もも,なほあ,なほあ,[百敷|ももしき]や,[古|ふる]き[軒端|のきば]の,しのぶにも,なほあまりある,[昔|むかし]なりけり,百敷や,古き軒端の,しのぶにも,なほあまりある,昔なりけり,ももしきや,ふるきのきばの,しのぶにも,なほあまりある,むかしなりけり,ももしきや,ふるきのきばの,しのぶにも,なおあまりある,むかしなりけり,ももしきやー[古|ふる]き[軒端|のきば]のｰしのぶにーもー,な[ほ|お]ｰあまりあるー[昔|むかし]なりーけり,ももしきやー古き軒端のｰしのぶにーもー,なほｰあまりあるー昔なりーけり,ももしきやーふるきのきばのｰしのぶにーもー,なおｰあまりあるーむかしなりーけり,なほあまり,あるむかし,なりけり
